time,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0,0.0,0.0,0.4352692451187663,0.0,0.4352692451187663,0.0
240,0.0,0.0,0.0,0.0,0.0,0.0,0.4352692451187663,0.5845044148737719,0.4352692451187663,0.0
360,14.115159802199033,0.0,0.0,0.0,0.0,0.0,0.4352692451187663,0.5845044148737719,0.4352692451187663,0.0
480,14.115159802199033,0.0,0.0,0.0,0.0,0.0,0.4352692451187663,0.5845044148737719,0.4352692451187663,0.0
600,14.115159802199033,0.0,0.0,0.0,0.0,0.0,0.4352692451187663,0.5845044148737719,0.4352692451187663,0.0
720,14.115159802199033,0.0,0.0,0.0,2.8727770177838576,0.0,0.4352692451187663,0.5845044148737719,0.4352692451187663,0.0
840,14.115159802199033,0.0,0.0,0.0,2.8727770177838576,0.0,0.4352692451187663,16.10496205516218,0.4352692451187663,0.0
960,14.115159802199033,0.0,0.0,0.0,2.8727770177838576,0.0,0.5223230941425195,16.10496205516218,0.4352692451187663,0.0
1080,14.115159802199033,0.0,0.0,0.0,2.8727770177838576,0.0,0.5223230941425195,16.10496205516218,0.4352692451187663,0.0
1200,14.115159802199033,0.0,0.5347593582887701,0.0,2.8727770177838576,0.0,0.5223230941425195,16.10496205516218,0.4352692451187663,0.0
1320,14.115159802199033,17.448078592445345,0.5347593582887701,0.0,2.8727770177838576,0.0,0.5223230941425195,16.10496205516218,0.4352692451187663,0.0
1440,14.115159802199033,17.448078592445345,0.5347593582887701,0.0,2.8727770177838576,0.0,0.5223230941425195,16.10496205516218,0.4352692451187663,0.0
1560,14.115159802199033,17.448078592445345,0.5347593582887701,0.0,2.8727770177838576,0.0,0.5223230941425195,16.10496205516218,0.4352692451187663,0.0
1680,14.115159802199033,17.448078592445345,0.5347593582887701,0.0,2.8727770177838576,0.0,0.5223230941425195,16.10496205516218,1.60427807486631,0.0
1800,14.115159802199033,17.448078592445345,0.5347593582887701,0.0,2.8727770177838576,0.0,0.6591219997512747,16.963064295485637,1.60427807486631,0.0
1920,14.115159802199033,17.448078592445345,0.5347593582887701,0.0,2.8727770177838576,0.0,1.4550429051113043,16.963064295485637,1.60427807486631,0.0
2040,14.115159802199033,17.448078592445345,0.5347593582887701,0.0,2.8727770177838576,0.0,1.4550429051113043,16.963064295485637,1.60427807486631,0.0
2160,14.115159802199033,17.448078592445345,0.5347593582887701,0.0,2.8727770177838576,0.0,1.4550429051113043,16.963064295485637,1.60427807486631,0.0
2280,14.115159802199033,17.448078592445345,0.5347593582887701,20.13431164993307,2.8727770177838576,0.0,1.4550429051113043,16.963064295485637,1.60427807486631,0.0
2400,14.115159802199033,17.448078592445345,0.5347593582887701,20.13431164993307,2.8727770177838576,0.0,1.4550429051113043,16.963064295485637,1.60427807486631,0.0
2520,14.115159802199033,17.448078592445345,0.5347593582887701,20.13431164993307,2.8727770177838576,0.0,1.4550429051113043,16.963064295485637,1.60427807486631,0.0
2640,14.115159802199033,17.448078592445345,0.5347593582887701,20.13431164993307,2.8727770177838576,0.0,1.4550429051113043,16.963064295485637,1.60427807486631,0.0
2760,14.115159802199033,17.448078592445345,0.5347593582887701,20.13431164993307,2.8727770177838576,0.0,1.4550429051113043,16.963064295485637,1.60427807486631,0.0
2880,14.115159802199033,17.448078592445345,0.5347593582887701,20.13431164993307,2.8727770177838576,0.0,1.4550429051113043,16.963064295485637,1.60427807486631,0.0
3000,14.115159802199033,17.448078592445345,0.5347593582887701,20.13431164993307,2.8727770177838576,0.0,1.4550429051113043,16.963064295485637,1.60427807486631,0.0
3120,14.115159802199033,17.448078592445345,2.972267130953861,20.13431164993307,2.8727770177838576,0.0,1.4550429051113043,23.20606889690337,1.60427807486631,0.0
3240,14.115159802199033,17.448078592445345,2.972267130953861,30.730008705384904,2.8727770177838576,0.0,1.4550429051113043,23.20606889690337,1.60427807486631,0.0
3360,14.115159802199033,17.448078592445345,2.972267130953861,30.730008705384904,2.8727770177838576,0.0,1.4550429051113043,23.20606889690337,1.60427807486631,0.0
3480,14.115159802199033,18.6046511627907,2.972267130953861,30.730008705384904,2.8727770177838576,0.0,1.4550429051113043,23.20606889690337,1.60427807486631,0.0
3600,14.115159802199033,18.6046511627907,2.972267130953861,30.730008705384904,2.8727770177838576,0.0,5.372466111180201,23.20606889690337,1.60427807486631,0.0
3720,14.115159802199033,18.6046511627907,2.972267130953861,30.730008705384904,2.8727770177838576,0.0,5.372466111180201,23.20606889690337,1.60427807486631,0.0
3840,14.115159802199033,18.6046511627907,2.972267130953861,30.730008705384904,2.8727770177838576,0.0,6.6036562602357805,23.20606889690337,1.60427807486631,0.0
3960,14.115159802199033,18.6046511627907,2.972267130953861,30.730008705384904,2.8727770177838576,0.0,13.194876257748527,23.20606889690337,1.60427807486631,0.0
4080,14.115159802199033,18.6046511627907,2.972267130953861,30.730008705384904,2.8727770177838576,0.0,13.194876257748527,23.20606889690337,1.60427807486631,0.0
4200,14.115159802199033,18.6046511627907,2.972267130953861,30.730008705384904,2.8727770177838576,0.0,13.194876257748527,23.20606889690337,1.60427807486631,0.0
4320,14.115159802199033,18.6046511627907,2.972267130953861,30.730008705384904,2.8727770177838576,0.0,13.194876257748527,23.20606889690337,1.60427807486631,0.0
4440,14.115159802199033,18.6046511627907,2.972267130953861,30.730008705384904,2.8727770177838576,0.0,13.194876257748527,26.837458007683463,1.60427807486631,0.0
4560,14.115159802199033,18.6046511627907,2.972267130953861,30.730008705384904,2.8727770177838576,8.369605770426563,13.194876257748527,26.837458007683463,1.60427807486631,0.0
4680,14.115159802199033,18.6046511627907,2.972267130953861,30.730008705384904,2.8727770177838576,8.369605770426563,13.194876257748527,26.837458007683463,1.60427807486631,0.0
4800,14.115159802199033,18.6046511627907,2.972267130953861,30.730008705384904,2.8727770177838576,8.369605770426563,13.194876257748527,28.205447071361505,1.60427807486631,0.0
4920,14.115159802199033,18.6046511627907,10.521079467727894,30.730008705384904,2.8727770177838576,8.369605770426563,13.194876257748527,28.205447071361505,1.60427807486631,0.0
5040,14.115159802199033,18.6046511627907,10.521079467727894,30.730008705384904,2.8727770177838576,8.369605770426563,13.194876257748527,28.205447071361505,1.60427807486631,0.0
5160,14.115159802199033,18.6046511627907,10.521079467727894,30.730008705384904,2.8727770177838576,8.369605770426563,13.194876257748527,28.205447071361505,1.60427807486631,0.0
5280,14.115159802199033,18.6046511627907,10.521079467727894,30.730008705384904,2.8727770177838576,8.369605770426563,13.194876257748527,31.215023002344612,1.60427807486631,0.0
5400,42.88023877627161,18.6046511627907,10.521079467727894,30.730008705384904,6.118641959955229,8.369605770426563,13.194876257748527,31.215023002344612,1.60427807486631,0.0
5520,42.88023877627161,18.6046511627907,10.521079467727894,30.730008705384904,6.118641959955229,8.369605770426563,13.194876257748527,31.215023002344612,1.60427807486631,0.0
5640,42.88023877627161,18.6046511627907,10.521079467727894,30.730008705384904,6.118641959955229,8.369605770426563,13.194876257748527,31.215023002344612,1.60427807486631,0.0
5760,42.88023877627161,18.6046511627907,10.521079467727894,30.730008705384904,6.118641959955229,8.369605770426563,13.194876257748527,31.215023002344612,1.60427807486631,0.0
5880,42.88023877627161,18.6046511627907,10.521079467727894,30.730008705384904,6.118641959955229,8.369605770426563,17.721676410778944,31.215023002344612,1.60427807486631,0.0
6000,42.88023877627161,18.6046511627907,10.521079467727894,30.730008705384904,6.118641959955229,8.369605770426563,17.721676410778944,31.215023002344612,1.60427807486631,0.0
6120,42.88023877627161,18.6046511627907,10.521079467727894,30.730008705384904,6.118641959955229,8.369605770426563,17.721676410778944,31.215023002344612,1.60427807486631,0.0
6240,42.88023877627161,18.6046511627907,10.521079467727894,30.730008705384904,6.118641959955229,8.369605770426563,17.721676410778944,31.215023002344612,1.60427807486631,0.0
6360,42.88023877627161,18.6046511627907,10.521079467727894,30.730008705384904,6.118641959955229,8.369605770426563,17.721676410778944,31.215023002344612,1.60427807486631,0.0
6480,42.88023877627161,18.6046511627907,10.521079467727894,30.730008705384904,6.118641959955229,8.369605770426563,17.721676410778944,31.215023002344612,1.60427807486631,0.5969406790200223
6600,42.88023877627161,18.6046511627907,10.521079467727894,30.730008705384904,6.118641959955229,8.369605770426563,17.721676410778944,31.215023002344612,1.60427807486631,0.5969406790200223
6720,42.88023877627161,18.6046511627907,10.521079467727894,30.730008705384904,6.118641959955229,8.369605770426563,17.721676410778944,31.215023002344612,1.60427807486631,0.5969406790200223
6840,42.88023877627161,18.6046511627907,10.521079467727894,30.730008705384904,6.118641959955229,8.369605770426563,17.721676410778944,31.215023002344612,1.60427807486631,0.5969406790200223
6960,42.88023877627161,18.6046511627907,10.521079467727894,30.730008705384904,6.118641959955229,8.369605770426563,17.721676410778944,31.215023002344612,1.60427807486631,0.5969406790200223
7080,42.88023877627161,18.6046511627907,10.521079467727894,30.730008705384904,6.118641959955229,8.369605770426563,17.721676410778944,31.215023002344612,1.60427807486631,0.5969406790200223
7200,42.88023877627161,18.6046511627907,10.521079467727894,30.730008705384904,6.118641959955229,8.369605770426563,17.721676410778944,31.215023002344612,1.60427807486631,0.5969406790200223
7320,42.88023877627161,18.6046511627907,10.521079467727894,30.730008705384904,6.118641959955229,8.369605770426563,17.721676410778944,31.215023002344612,1.60427807486631,0.5969406790200223
7440,42.88023877627161,18.6046511627907,10.521079467727894,30.730008705384904,6.118641959955229,8.369605770426563,17.721676410778944,31.215023002344612,1.60427807486631,0.5969406790200223
7560,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,17.721676410778944,31.215023002344612,1.60427807486631,0.5969406790200223
7680,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,17.721676410778944,31.215023002344612,1.60427807486631,0.5969406790200223
7800,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,31.215023002344612,1.60427807486631,0.5969406790200223
7920,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
8040,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
8160,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
8280,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
8400,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
8520,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
8640,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
8760,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
8880,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
9000,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
9120,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
9240,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
9360,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
9480,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
9600,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
9720,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
9840,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
9960,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
10080,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
10200,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
10320,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
10440,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
10560,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
10680,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
10800,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
10920,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
11040,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
11160,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
11280,42.88023877627161,18.6046511627907,18.36836214401194,30.730008705384904,6.118641959955229,8.369605770426563,18.393234674676467,57.10732494724759,1.60427807486631,0.5969406790200223
